Pergunta,Opção A,Opção B,Opção C,Opção D,Resposta Correta
What is the synonym of 'happy'?,Sad,Angry,Joyful,Tired,3
What is the antonym of 'big'?,Small,Large,Huge,Gigantic,1
Which of these is a verb?,Run,Quick,Beautiful,Dog,1
What is the plural form of 'child'?,Childs,Children,Childes,Child's,2
What is the correct spelling?,Accomodation,Acommodation,Accommodation,Acomodation,3
What is the past tense of 'go'?,Goed,Goes,Went,Gone,3
What is the comparative form of 'good'?,Gooder,Better,Best,More good,2
What is the meaning of the idiom 'break the ice'?,To break something frozen,To start a conversation,To get angry,To ignore someone,2
Which sentence is in the future tense?,I am eating.,I will eat.,I ate.,I eat.,2
What is the main verb in 'She is reading a book'?,Is,Reading,A,Book,2
Which of these is a noun?,Quick,Run,Apple,Beautiful,3
What is the synonym of 'fast'?,Slow,Quick,Heavy,Soft,2
What does 'I can't make it' mean?,I can't understand it.,I can't go.,I can't create it.,I can't see it.,2
What is the antonym of 'cold'?,Hot,Warm,Frozen,Chilly,1
Which word completes the sentence: 'She ___ very tall.'?,Is,Are,Am,Be,1
