Pergunta,Opção A,Opção B,Opção C,Opção D,Resposta Correta
Quem descobriu a América?,Cristóvão Colombo,Vasco da Gama,Marco Polo,Pedro Álvares Cabral,1
Em qual ano a Segunda Guerra Mundial teve seu início?,1914,1939,1945,1950,2
Em que ano o Brasil se tornou independente de Portugal?,1822,1500,1808,1888,1
Em que país a Revolução Industrial iniciou?,França,Estados Unidos,Alemanha,Reino Unido,4
Qual império foi conhecido como 'A terra do sol nascente'?,Império Romano,Império Japonês,Império Otomano,Império Mongol,2
Qual faraó egípcio ordenou a construção das pirâmides?,Tutancâmon,Cleópatra,Ramsés II,Queóps,4
Quem foi o primeiro imperador romano?,Nero,César Augusto,Júlio César,Calígula,2
Qual tratado encerrou a Primeira Guerra Mundial?,Tratado de Tordesilhas,Tratado de Versalhes,Tratado de Paris,Tratado de Viena,2
Quem liderou a Revolução Russa de 1917?,Lenin,Stalin,Trotsky,Mikhail Gorbachev,1
Qual era o nome do navio que levou os peregrinos à América em 1620?,Santa Maria,Pinta,Mayflower,Victoria,3
Quem foi o responsável pela unificação da Alemanha em 1871?,Otto von Bismarck,Frederico II,Wilhelm II,Lutero,1
Em que ano ocorreu a Revolução Francesa?,1789,1776,1804,1815,1
Qual foi a causa principal da Guerra Fria?,Disputas coloniais,Conflito ideológico entre capitalismo e comunismo,Disputas religiosas,Controle de rotas marítimas,2
Quem liderou a luta contra o apartheid na África do Sul?,Desmond Tutu,Mahatma Gandhi,Nelson Mandela,Steve Biko,3
Qual cidade foi destruída pela erupção do Monte Vesúvio em 79 d.C.?,Atenas,Pompeia,Roma,Cartago,2
